drugbankID,Result
DB08901,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5
DB11805,CN1CCN(CC1)CCOC2=CC3=C(C(=C2)OC4CCOCC4)C(=NC=N3)NC5=C(C=CC6=C5OCO6)Cl
DB12130,CC1C2=C(C=CC(=C2)F)C(=O)N(CC3=NN(C(=C3C4=CC(=C(N=C4)N)O1)C#N)C)C
DB12200,C1CC2=C3C(=CC=C2)C(=CN3C1)C4C(C(=O)NC4=O)C5=CNC6=CC=CC=C65
DB06603,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO
DB12985,CN1C=C(C2=CC=CC=C21)CNCC3CCN(CC3)C4=NC=C(C=N4)C(=O)NO
DB12027,C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4
DB04960,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N
DB07232,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
DB08912,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F
DB00793,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI
DB02281,C1=NC2=C(NN=C2C(=N1)N)C3C(C(C(O3)CO)O)O
DB00242,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
DB04198,C1=NC2=C(NN=C2C(=O)N1)C3C(C(C(O3)CO)O)O
DB01092,CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O
DB14655,CCC(=O)OC1CCC2C1(CCC3C2CCC4C3(CC(C(=O)C4)C)C)C
DB01024,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O
DB12873,C1C(O1)C(C(C2CO2)O)O
DB04385,C1=CN(C(=O)C=C1N)C2C(C(C(O2)CO)O)O
DB00437,C1=NNC2=C1C(=O)NC=N2
